NAME,OKATO,OKTMO,NAME_AO,OKATO_AO,ABBREV_AO,TYPE_MO,population
Сокол,45277589,45345000,Северный,45277000,САО,Муниципальный округ,58000
Западное Дегунино,45277577,45340000,Северный,45277000,САО,Муниципальный округ,85514
Проспект Вернадского,45268581,45324000,Западный,45268000,ЗАО,Муниципальный округ,65529
Южное Бутово,45293594,45909000,Юго-Западный,45293000,ЮЗАО,Муниципальный округ,208783
Ясенево,45293598,45910000,Юго-Западный,45293000,ЮЗАО,Муниципальный округ,175253
Дорогомилово,45268554,45318000,Западный,45268000,ЗАО,Муниципальный округ,76926
Коньково,45293566,45902000,Юго-Западный,45293000,ЮЗАО,Муниципальный округ,151790
Хорошёвский,45277598,45348000,Северный,45277000,САО,Муниципальный округ,74927
Беговой,45277556,45334000,Северный,45277000,САО,Муниципальный округ,42729
Коптево,45277580,45341000,Северный,45277000,САО,Муниципальный округ,102809
